"","HPTS","H2PM","H3PM","HFTM","HORB","HDRB","HAST","HSTL","HTOV","HBLK","HPF","HL5","HALL","APTS","A2PM","A3PM","AFTM","AORB","ADRB","AAST","ASTL","ATOV","ABLK","APF","AL5","AALL","W","DIFF"
"1332",108.977528089888,0.509476416406607,0.391562454936648,0.756102096409756,10.3707865168539,34.247191011236,27.2584269662921,9.1685393258427,13.9101123595506,5.98876404494382,19.6966292134831,5,58,97.5454545454545,0.464735361534592,0.334891860899556,0.69182752245318,12.8522727272727,31.9318181818182,21.0568181818182,7.55681818181818,12.625,4.54545454545455,18.7159090909091,4,-13,"H",14
"1333",96.0786516853933,0.4632232356165,0.346510194718885,0.747688922863914,10.3820224719101,33.7640449438202,21.0786516853933,6.32584269662921,13.2584269662921,4.50561797752809,21.0337078651685,4,-6,95.2022471910112,0.479384667074793,0.343166288053944,0.731571577032525,10.0786516853933,31.6966292134831,20.6292134831461,7.86516853932584,14.1573033707865,4.04494382022472,20.8314606741573,2,-32,"H",13
"1334",105.420454545455,0.516976350116026,0.361836738780939,0.700463303515578,9.34090909090909,32.9659090909091,24.375,7.61363636363636,11.6704545454545,5.07954545454545,21,3,31,96.6404494382023,0.478403543412436,0.327011187449479,0.771841107772609,10.3595505617978,31.752808988764,21.3932584269663,8.31460674157303,12.8426966292135,4.21348314606742,19.0786516853933,1,24,"H",2
"1335",91.0568181818182,0.445517949184065,0.313734686015416,0.675567132146146,11.6590909090909,30.625,20.25,9.32954545454546,16.7386363636364,5.92045454545455,21.3977272727273,0,-51,99.5168539325843,0.469131906237743,0.350646128531928,0.768138772407025,11.2808988764045,33.9101123595506,21.3033707865169,6.23595505617978,13.0449438202247,5.66292134831461,18.1460674157303,1,20,"A",-23
"1336",100.47191011236,0.480110667778662,0.336702272829827,0.741926040609425,10.8988764044944,32.7415730337079,20.4157303370787,6.82022471910112,15.4943820224719,3.87640449438202,20.6404494382022,0,-30,102.068181818182,0.503049049420484,0.356910072697667,0.774791848201581,9.69318181818182,33.625,24.1363636363636,8,13.4772727272727,5.375,18.7272727272727,3,31,"A",-18
"1337",101.775280898876,0.503340952169474,0.359201373465144,0.731730873289951,10.8539325842697,31.9325842696629,22.2359550561798,7.13483146067416,13.5168539325843,4.08988764044944,18.2921348314607,5,30,93.8522727272727,0.478618533518527,0.341263332147547,0.712957517359465,11.8409090909091,31.7159090909091,19.4204545454545,7.60227272727273,13.9318181818182,6.03409090909091,19.3295454545455,4,-3,"H",4
"1338",93.5505617977528,0.493613440531184,0.331427120674791,0.737027377564034,8.95505617977528,30.1348314606742,19.4044943820225,7.59550561797753,13.6629213483146,4.71910112359551,19.7303370786517,2,-8,97.7272727272727,0.456498545646119,0.333418549958967,0.731493535325007,11.3181818181818,32.0227272727273,20.4772727272727,6.94318181818182,12.5,4.52272727272727,21.2045454545455,1,-43,"H",13
"1339",96.7865168539326,0.482873725358772,0.358068297317764,0.752012401766943,10.4606741573034,30.6741573033708,23.3033707865169,9.30337078651685,15.6629213483146,4.80898876404494,21.9887640449438,4,0,100.459770114943,0.482234826305065,0.325148069629355,0.751099201413776,11.0229885057471,32.3908045977011,24.2298850574713,8.31034482758621,13.3793103448276,3.57471264367816,21.0229885057471,3,-2,"A",-16
"1340",96.9318181818182,0.457222268822714,0.320010997129805,0.767317033847259,11.2727272727273,29.4431818181818,21.4318181818182,8.01136363636364,14.2045454545455,4.04545454545455,19.2045454545455,4,-49,93.9090909090909,0.447769445505571,0.313069150323619,0.743881087620134,9.93181818181818,33.75,20.0340909090909,6,11,5.38636363636364,17.9772727272727,2,-17,"A",-9
"1341",98.3977272727273,0.478856800608346,0.364891968971937,0.741154833270982,11.1363636363636,31.5454545454545,21.7954545454545,6.73863636363636,12.5227272727273,6.10227272727273,18.625,1,3,103.431818181818,0.501411780822942,0.342857357000533,0.748770187163579,10.2386363636364,31.8522727272727,22.1818181818182,7.82954545454545,12.3636363636364,4.34090909090909,19.9659090909091,4,17,"H",15
"1342",102.38202247191,0.49170100714293,0.347019792394003,0.780341020305204,10.6292134831461,30.7191011235955,20.3595505617978,7.60674157303371,12.3820224719101,4.26966292134831,20.7640449438202,2,16,91.4719101123596,0.449475632438083,0.34471632514484,0.761671433250503,10.6966292134831,29.7078651685393,20.8651685393258,6.93258426966292,13.5955056179775,4.68539325842697,21.3707865168539,2,-48,"A",-2
"1343",97.6136363636364,0.485397608224199,0.354745423434062,0.732254785695209,10.3636363636364,33.6590909090909,23.6704545454545,7.35227272727273,14.5454545454545,4.64772727272727,20.5909090909091,2,9,103.674157303371,0.483330299597212,0.334714198718491,0.737383064349642,12.8202247191011,34.3483146067416,20.4494382022472,7.28089887640449,14.0786516853933,5.73033707865169,22.1123595505618,1,12,"A",-24
"1344",101.593406593407,0.502748863202737,0.374357664151513,0.773464295212014,8.62637362637363,31.5164835164835,25.5714285714286,9.14285714285714,13.4175824175824,4.6043956043956,17.5714285714286,5,44,98.6404494382023,0.479570464436971,0.36555882801992,0.741566327029486,11.1123595505618,31.6292134831461,21.8314606741573,6.76404494382022,12.5056179775281,6.08988764044944,18.7191011235955,0,2,"H",8
